ticker,date,headline,summary,source,url,category,image
AAPL,2026-04-08,Anthropic's Mythos raises questions for cybersecurity startup valuations,"Joey Schaffer/PitchBook News Anthropic’s Mythos Preview frontier model, formally announced this week, is expected to be a boon for startups in some cybersecurity categories and a competitive threat to others. The Mythos Preview model has, according to Anthropic, identified thousands of high-severity vulnerabilities “in every major operating system and browser.” It is a major revelation for the cybersecurity industry, and is expected to have immediate implications for more mature startups whose p",Yahoo,https://finnhub.io/api/news?id=d6834c81c8566aecf01c701e67cf8445a95973381ccd44c2046bdf3b607f71b3,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,Apple’s foldable iPhone remains on track for September debut,Apple's stock had a turbulent April 7. It took two competing reports and most of a trading session to stabilize. Shares fell as much as 5% after Nikkei Asia reported engineering setbacks in the early test production phase of the company's first foldable iPhone. Then Bloomberg's Mark Gurman reported ...,Yahoo,https://finnhub.io/api/news?id=fbc4627d3f9c0846771fbbf33ada4f03dac2e7cd33116161b0b8a01b87532094,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,Apple Gains as Mac Demand Drives Longer Lead Times,Analyst says extended delivery times signal strong demand for high-end Macs.,Yahoo,https://finnhub.io/api/news?id=c7167ef9c5a85470a1536949f4e6f07683c3b33255408a77a4f2f4153d61d285,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,"Stocks making big moves yesterday: CrowdStrike, Avis Budget Group, Apple, Broadcom, and Tesla",Check out the companies making headlines yesterday:,Yahoo,https://finnhub.io/api/news?id=25e6a7482c29f7be0050e0ea7b4c147cf4e16229f82b1c2fbdfbc82da828dd05,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,The Coming 2026 Growth Surge (& How to Ride it),It's no coincidence that the top five wealthiest people on Earth are products of the high-growth tech sector. 2026 will provide investors with one of the best opportunities to buy tech stocks in history.,Yahoo,https://finnhub.io/api/news?id=c0b13f13b1b2ddf7895265d3b6dc4e9d41686674637aa28ef10a1327fbe12c17,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,"Dow spikes by over 1,300, oil prices retreat in ceasefire rally","All three of the major indexes (^DJI, ^IXIC, ^GSPC) closed Wednesday's session with colossal gains — the Dow Jones Industrial Average skyrocketed by over 1,320 points (2.85%) and the Nasdaq Composite surged by nearly 620 points (2.8%) — after President Trump announced that Iran agreed to a two-week ceasefire last night. Yahoo Finance Markets and Data Editor Jared Blikre takes a closer look at the trading day's biggest sector gainers.",Yahoo,https://finnhub.io/api/news?id=b8eea1100721bb24dd793d8dc323694304256f54def429b5dfd4bccfcf106f54,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,Apple Turns To Samsung For Foldable Screens,Exclusive deal reflects limited supplier readiness,Yahoo,https://finnhub.io/api/news?id=66c7e78f5a4521c381df1ee5045799812cb4b6800e60ba286489a935564b0ceb,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,"These Companies Pay 5% Dividend Yields, and They’re Hiking Them Too","Verizon, Best Buy, and VICI Properties offer dividend yields above 5% and are still increasing payouts despite market uncertainty.",Yahoo,https://finnhub.io/api/news?id=1ed4eea4df8cf2bf82c5e8b1065fd9ec63e098df7b319076dd29da47a84e3cd1,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,Apple Shares Rise on Wedbush Bullish Call,OpenClaw Frenzy Drives Mac Demand as Apple Rides Iran Truce Higher,Yahoo,https://finnhub.io/api/news?id=3d910048e057a57ecf41b8481073b40d6615746191c73526ca3b7c389b37ce44,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
AAPL,2026-04-08,"Anthropic's Claude Mythos Preview Just Sent Shockwaves Through the Cybersecurity Industry. It's Now Joining Forces with Nvidia, Amazon, Apple, Google, and Microsoft",Anthropics latest frontier model identified vulnerabilities in every major operating system and web browser.,Yahoo,https://finnhub.io/api/news?id=4ad5be74f027d98aceb7cf3e693220853469a9a25c962b5b5eba1e5e546a25d7,company,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png
